premise,hypothesis,label
and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,0
you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,0
"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.,0
"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",0
"It will be COLOSSAL!""",It will be gigantic.,0
yeah uh-huh oh yeah petting zoos and things,"Yes, petting and other things.",0
"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,0
 Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.,0
"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.,0
My brain refusing to command properly.,My brain was not commanding properly.,0
"""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.,0
You have to walk through it).,You need to pass through it on foot.,0
"No, I exclaimed, astonished.","""No!"" I cried out in shock.",0
"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.,0
"Hey, no problem, a fine policy.","No worries, a good policy.",0
"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.,0
okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right?",0
"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home.,0
"To their good fortune, he's proving them right.",He is showing that they were correct.,0
"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,0
"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.,0
uh high humidity,Air with increased water content.,0
yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.,0
"Or Sherlock Holmes?""",Was it Sherlock Holmes?,0
"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,0
"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.","Detailed implementation plans are necessary to address business system, processes and resources",0
"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.",Mr. Erlenborn attended classes in at least four different universities.,0
Finally the woman opened her eyes feebly.,She opened her eyes.,0
The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).,The Tomb/Pillar of Absalom has a large cone-shaped roof.,0
"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?,0
